id,commit,build,exec_time,comment,fix,lastFix
70,67e22f8c,SUCCESS,13,Suppress deprecation warnings,{'lastFix': None},
71,28bfc41b,SUCCESS,21,Update to time-zone data 2013d,{'lastFix': None},
72,362ed178,SUCCESS,16,Fix to allow offsets from -00:01 to -00:59,{'lastFix': None},
73,96f586cb,SUCCESS,20,Ensure there is a max/min valid offset in DateTimeZone,{'lastFix': None},
74,54edec0d,SUCCESS,14,Deprecate DateMidnight,{'lastFix': None},
75,08a3a0b9,SUCCESS,15,Merge pull request #38 from mebigfatguy/master,{'lastFix': None},
76,6fc068c5,SUCCESS,12,fix javadoc @links,{'lastFix': None},
77,0cd0ccad,SUCCESS,12,Investigate Period calculation at end of month,{'lastFix': None},
78,3a413d78,SUCCESS,13,Days.daysBetween fails for MonthDay,{'lastFix': None},
79,efce9916,SUCCESS,13,Update pom with pull request author,{'lastFix': None},
80,ea9789a9,SUCCESS,13,Merge pull request #29 from celkins/fix-javadoc-typo,{'lastFix': None},
81,f89ae6a4,SUCCESS,13,Fix invalid ISO 8601 duration syntax in javadoc example,{'lastFix': None},
82,7fe4b477,SUCCESS,12,Fix short time-zone name parsing to match the longest name,{'lastFix': None},
83,6be086e6,SUCCESS,12,Fix pom,{'lastFix': None},
84,7a5dc1e9,SUCCESS,12,Update to time-zone data 2013c,{'lastFix': None},
85,c36c7cb9,SUCCESS,12,Enable travisci,{'lastFix': None},
86,43375f43,SUCCESS,12,Add method to compare intervals ignoring the chronology,{'lastFix': None},
87,a77691dd,SUCCESS,12,Update to consistent JDK reference across Joda projects,{'lastFix': None},
88,02d02622,SUCCESS,12,Update to time-zone data 2013b,{'lastFix': None},
89,57eb4cbb,SUCCESS,12,Fix ZoneInfoCompiler and DateTimeZoneBuilder multi-threading,{'lastFix': None},
90,6d510475,SUCCESS,12,Bump version,{'lastFix': None},
91,3cfbe97a,SUCCESS,12,Update pom.xml,{'lastFix': None},
92,799d7221,SUCCESS,14,Merge pull request #12 from plumpy/master,{'lastFix': None},
93,cd40f81a,SUCCESS,14,two tiny javadoc corrections,{'lastFix': None},
94,7c957945,SUCCESS,15,Fix link,{'lastFix': None},
95,456e64b6,SUCCESS,13,Direct users to GitHub issues,{'lastFix': None},
96,639c9657,SUCCESS,13,Remove tasks page,{'lastFix': None},
97,3614019b,SUCCESS,12,Enhance pom,{'lastFix': None},
98,4b9e2314,SUCCESS,13,Only one Javadoc link,{'lastFix': None},
99,a3cf2fcc,SUCCESS,11,Remove old images,{'lastFix': None},
100,f924b433,SUCCESS,12,Prepare for v2.2,{'lastFix': None},
101,bddc55cf,SUCCESS,11,Clearer release notes,{'lastFix': None},
102,db34c4a3,SUCCESS,12,Fix typos,{'lastFix': None},
103,c4328d9f,SUCCESS,11,Update to time-zone data 2013a,{'lastFix': None},
104,979e9b46,SUCCESS,11,Add recent contributors,{'lastFix': None},
105,c8dd135b,SUCCESS,11,Fix patch and update project files (Duration string parsing),{'lastFix': None},
106,4e5eb268,SUCCESS,11,Merge pull request #10 from mkneissl/master,{'lastFix': None},
107,b99b7150,SUCCESS,11,Fix Duration conversion from String for negative millisecond durations.,{'lastFix': None},
108,da867243,SUCCESS,11,Fix LocalTime Javadoc,{'lastFix': None},
109,cb28cb59,SUCCESS,11,Javadoc fix to Years [169],{'lastFix': None},
110,da829132,SUCCESS,11,Document and test constructor behavior,{'lastFix': None},
111,4e511f5a,SUCCESS,11,Fix withMaximumValue()/withMinimumValue() to handle DST gap,{'lastFix': None},
112,2fcc704a,SUCCESS,11,Add IllegalInstantException,{'lastFix': None},
113,7a847c21,SUCCESS,11,Remove ant build,{'lastFix': None},
