id,commit,build,exec_time,comment,fix,lastFix
304,9c2e92bb,FAIL,2,DateTimeFormatter convenience methods taking an Appendable [2607923],{'lastFix': None},
305,d76051f7,FAIL,1,DateTimeUtils shared static variable now volatile [2986043],{'lastFix': None},
306,32b0bb4e,FAIL,1,Update to new sourceforge URLs,{'lastFix': None},
307,968d01db,FAIL,1,Update to JDK 1.5,{'lastFix': None},
308,92cd4e10,FAIL,1,Update to JDK 1.5,{'lastFix': None},
309,3d755f39,FAIL,2,Add the maven assemblies (bin and src),{'lastFix': None},
310,609aa431,FAIL,1,'mvn compile' and 'mvn package' now also work (by delegating to ant). 'mvn assembly:assembly' will now create a bin and a src distribution. Add maven-gpg-plugin and maven-repository-plugin.,{'lastFix': None},
311,e1bf505a,FAIL,1,Add contents for the site. Additions to pom.xml. Some minor changes.,{'lastFix': None},
312,51bec123,FAIL,1,DateTimeZone.convertLocalToUTC [2903029] Now handles date after last ever DST change reported by Christoph Goldner,{'lastFix': None},
313,bc49e14e,FAIL,1,Classloading CachedDateTimeZone could invalidate state [2935625] Reported by Michael Barker,{'lastFix': None},
314,7673aa4d,FAIL,1,Make MillisProvider public so anyone can change the clock,{'lastFix': None},
315,a08b61da,FAIL,1,"Add MonthDay, from Chris Pheby",{'lastFix': None},
316,6c6ad879,FAIL,2,"Add MonthDay, from Chris Pheby",{'lastFix': None},
317,2b25b36a,FAIL,1,Javadoc and tidy up,{'lastFix': None},
318,9e112e07,FAIL,1,Fix fromDateFields() where j.u.Date before 1970 reported by Jure Mercun,{'lastFix': None},
319,0a5a497b,FAIL,1,"Cache result of hash code to enhance performance, issue reported by Jeffrey Green",{'lastFix': None},
320,3c026b7c,FAIL,1,Add script that generates the gwt tests from the annotated core tests. Update gwt tests.,{'lastFix': None},
321,8fb9bae6,FAIL,1,Annotate test classes that are branched off joda-time core for joda-time-gwt. The annotated test classes are used as a basis to generate the gwt test classes. Also change the default java.util.Locale and java.util.TimeZone to verify which test cases are actually depending on these defaults (these tests are marked in the code as well). In the generated gwt test classes Locale and TimeZone are not supported so these statements will be removed.,{'lastFix': None},
322,59a25b37,FAIL,2,branch off the tests of joda-time core (v1.6) for gwt,{'lastFix': None},
323,9d40c6d4,FAIL,1,Post release v1.2,{'lastFix': None},
324,77c6c0f1,FAIL,1,Prepare for v1.2,{'lastFix': None},
325,a7252d92,FAIL,1,Prepare for v1.2,{'lastFix': None},
326,b7bb4ca9,FAIL,1,Prepare for v1.2,{'lastFix': None},
327,0e674e3c,FAIL,1,Introduce option gwt.test.args. Default value in build.properties.,{'lastFix': None},
328,165e44a4,FAIL,2,Added a README,{'lastFix': None},
329,77dde7d7,FAIL,1,Initial version of the ported testset.,{'lastFix': None},
330,028e01cb,FAIL,1,Initial version of src/main/gwt and src/main/gwt-emul,{'lastFix': None},
331,e861ef34,FAIL,1,Copy joda-time 1.6 src/java and scr/test to joda-time-gwt gwt-emul and test resp. (for easy diffing later on). Initial version of emulated jre code.,{'lastFix': None},
332,56d6f8a5,FAIL,1,Create gwt project,{'lastFix': None},
333,e9032e77,FAIL,1,Convert to Maven 2,{'lastFix': None},
334,3a440aac,FAIL,2,Prepare for release 1.2,{'lastFix': None},
335,4c2dfc80,FAIL,1,Prepare for release 1.2,{'lastFix': None},
336,18116433,FAIL,1,Checkstyle,{'lastFix': None},
337,7f90642a,FAIL,1,Convert to Maven 2,{'lastFix': None},
338,03753882,FAIL,1,Convert to Maven 2,{'lastFix': None},
339,463b4674,FAIL,1,Convert to Maven 2,{'lastFix': None},
340,b68ad159,FAIL,1,Convert to Maven 2,{'lastFix': None},
341,04f80d16,FAIL,1,Convert to Maven 2,{'lastFix': None},
342,bc0fbec2,FAIL,1,Convert to Maven 2,{'lastFix': None},
343,dfe917d4,FAIL,1,Convert to Maven 2,{'lastFix': None},
344,15323018,FAIL,1,Add antlr to make tests pass,{'lastFix': None},
345,736bbfc9,FAIL,1,Add Instant persistance by BIGINT and TIMESTAMP,{'lastFix': None},
346,effe126d,FAIL,1,Convert to Maven 2,{'lastFix': None},
347,ad348b5d,FAIL,1,Convert to Maven 2,{'lastFix': None},
348,0986a770,FAIL,1,Convert to Maven 2,{'lastFix': None},
349,25eb7898,FAIL,1,Convert to Maven 2,{'lastFix': None},
350,6c01269b,FAIL,1,Convert to Maven 2,{'lastFix': None},
351,c3ee85ad,FAIL,1,Convert to Maven 2,{'lastFix': None},
352,26482d22,FAIL,1,Convert to Maven 2,{'lastFix': None},
353,1972531a,FAIL,2,Convert to Maven 2,{'lastFix': None},
354,b74e684f,FAIL,1,Convert to Maven 2,{'lastFix': None},
355,9b9eeb2f,FAIL,1,Optimise deepCopy(),{'lastFix': None},
356,695bd1df,FAIL,1,Format classes to correct coding standards,{'lastFix': None},
357,9282fb09,FAIL,1,Fix whitespace and line endings,{'lastFix': None},
358,70d6a2e6,FAIL,1,Add Instant persistance by BIGINT and TIMESTAMP,{'lastFix': None},
359,008a33f1,FAIL,2,Add Joda-Money,{'lastFix': None},
360,ce94280c,FAIL,1,Enhance javadoc,{'lastFix': None},
361,7921e431,FAIL,1,"Add DateTimeFormatter.parseLocalDate(), .parseLocalTime(), .parseLocalDateTime()",{'lastFix': None},
362,760c5757,FAIL,1,Add DateTimeFormatter.withZoneUTC(),{'lastFix': None},
363,4b8f473c,FAIL,1,Add DateTimeFormatter.withZoneUTC(),{'lastFix': None},
364,82ad80ce,FAIL,1,Add OSGi information,{'lastFix': None},
365,c55447d5,FAIL,1,Clarify release notes,{'lastFix': None},
366,5967d78d,FAIL,1,Add since tags,{'lastFix': None},
367,a48f28b5,FAIL,1,Add OSGi information,{'lastFix': None},
368,0327b459,FAIL,1,Update prior to v2.0,{'lastFix': None},
369,860261c5,FAIL,1,Add Serializable [2819834],{'lastFix': None},
370,2fd05c3e,FAIL,1,Add Joda-Money,{'lastFix': None},
371,ddd34b7f,FAIL,1,"Add methods to Duration to get standard minutes, hours and days [2862884]",{'lastFix': None},
372,001829be,FAIL,2,Add YearMonth [1863090],{'lastFix': None},
373,f5dd6bff,FAIL,1,Add YearMonth [1863090],{'lastFix': None},
374,830e672b,FAIL,1,Additional tests,{'lastFix': None},
375,dcaef093,FAIL,1,DateTime constructors without seconds/millis [1982629],{'lastFix': None},
376,d94f390d,FAIL,1,Remove unecessary use of YearMonthDay,{'lastFix': None},
377,e071e5ab,FAIL,1,Add LocalDateTime.toDateTime() [2465359] providing direct conversion to JDK Date handling DST and time zone data differences,{'lastFix': None},
378,bf0a5986,FAIL,2,Add LocalDate.toDate() [2465359] providing direct conversion to JDK Date handling DST and time zone data differences,{'lastFix': None},
379,1cbee321,FAIL,1,Remove deprecations,{'lastFix': None},
380,e1b20335,FAIL,1,Move to Java 5 with foreach loop,{'lastFix': None},
381,3f1e047c,FAIL,1,Move to Java 5 with generics,{'lastFix': None},
382,9bad9978,FAIL,1,Allow 'Z' and 'ZZ' in format patterns to parse 'Z' as '+00:00' [2827359],{'lastFix': None},
383,d68e39ce,FAIL,1,Fix possible concurrency hole in PeriodFormatBuilder.Separator [2820871],{'lastFix': None},
384,0ea95a73,FAIL,2,Use LocalDate.toDateTimeAtStartOfDay() [2461322] raised by muriloq,{'lastFix': None},
385,1cd13607,FAIL,1,Require Joda-Time 1.6,{'lastFix': None},
386,7cfbab6f,FAIL,1,Clarify Javadoc [2862109] reported by hpwerner,{'lastFix': None},
387,2872e569,FAIL,1,Maven 2 files,{'lastFix': None},
388,8b49e71d,FAIL,1,Fix website text [2865266] raised by Timothy Tucker,{'lastFix': None},
389,4c9edec5,FAIL,1,"DateTimeZone data updated to version 2009m. Noticed bug in Asia/Amman, but this was from a previous update.",{'lastFix': None},
390,9fa4334d,FAIL,1,DateTimeZone data updated to version 2009l.,{'lastFix': None},
391,6cd3a18f,FAIL,2,Javadoc,{'lastFix': None},
392,921c1a95,FAIL,1,Add DataNucleus information,{'lastFix': None},
393,6cb6574c,FAIL,1,DateTimeZone data updated to version 2009k.,{'lastFix': None},
394,dfbb62c7,FAIL,1,Add to user guide suggested by Jens Zastrow,{'lastFix': None},
395,0332cbe7,FAIL,1,DateTimeZone data updated to version 2009j.,{'lastFix': None},
396,8a31f552,FAIL,1,DateTimeZone data updated to version 2009i.,{'lastFix': None},
397,f4a42a80,FAIL,2,DateTimeZone data updated to version 2009h. (no actual rule changes),{'lastFix': None},
398,01510a73,FAIL,1,Fix method name typo - DateTimeFormatter.getChronolgy() [2783325],{'lastFix': None},
399,51ed4026,FAIL,1,Better error messages for invalid time zone ids [2781835],{'lastFix': None},
400,8c295c36,FAIL,1,DateTimeZone data updated to version 2009g.,{'lastFix': None},
401,220901d8,FAIL,1,DateTimeZone data updated to version 2009f.,{'lastFix': None},
402,bfdef1b8,FAIL,1,Add privacy statement,{'lastFix': None},
403,5d9df524,FAIL,2,"Add PersistentInstant, from Martin Grove",{'lastFix': None},
404,62fd2aa0,FAIL,1,Updated JDK version compatibility to be consistent with release notes.,{'lastFix': None},
405,d69f11cc,FAIL,1,DateTimeZone data updated to version 2009e.,{'lastFix': None},
406,5aae9b2e,FAIL,1,Support pluggable locale text and additional locales in JDK 6 [2690370] implemented by sschz,{'lastFix': None},
407,a3cc13c9,FAIL,1,Fix DST cutover issues for LocalDate.toInterval() [2487417] Raised by Luc Claes,{'lastFix': None},
408,fa566d6c,FAIL,2,Javadoc fix in Months [2721880],{'lastFix': None},
409,aa898665,FAIL,1,Fix so that builder works even when system time zone isn't UTC.,{'lastFix': None},
410,534d1a0e,FAIL,1,DateTimeZone data updated to version 2009d.,{'lastFix': None},
411,6cf67f42,FAIL,1,DateTimeZone data updated to version 2009c.,{'lastFix': None},
412,5fb2edaa,FAIL,1,Move version to 2.0,{'lastFix': None},
413,e1e7a3b7,FAIL,2,Add millis() factory [2648777],{'lastFix': None},
414,411e7241,FAIL,1,DateTimeZone data updated to version 2009a.,{'lastFix': None},
415,738f4902,FAIL,1,Need to use WinSCP for releases now,{'lastFix': None},
416,f3313e4f,FAIL,1,Prepare for v1.6,{'lastFix': None},
417,01b4521d,FAIL,1,Update TODO version,{'lastFix': None},
418,3b5d9edf,FAIL,2,Added Duration.getStandardSeconds() and Duration.toStandardSeconds(),{'lastFix': None},
419,33037763,FAIL,1,Add since tag,{'lastFix': None},
420,ba5b23c9,FAIL,1,Add DateTimeZone.isLocalDateTimeGap,{'lastFix': None},
421,c247b1ea,FAIL,1,DateTimeZone data updated to version 2008i.,{'lastFix': None},
422,3367bafb,FAIL,1,Change to maven 1.1,{'lastFix': None},
423,5de9d937,FAIL,2,Change to maven 1.1,{'lastFix': None},
424,df21ab4b,FAIL,1,Method deepCopy() should just return the input value [2038742],{'lastFix': None},
425,7f60a9ca,FAIL,1,Add I18N link,{'lastFix': None},
426,c51f5211,FAIL,1,Fix javadoc and licence,{'lastFix': None},
427,1fdc1f43,FAIL,1,DateTimeZone data updated to version 2008h.,{'lastFix': None},
428,c111e996,FAIL,1,Prepare for v1.1,{'lastFix': None},
429,3ba02f6c,FAIL,2,Add PersistentLocalDateTime,{'lastFix': None},
430,312ed1d8,FAIL,1,Update the list of tasks,{'lastFix': None},
431,4f0fa2ec,FAIL,1,Handle null intervals stored in database [2111763],{'lastFix': None},
432,64a991fc,FAIL,2,DateTimeZone data updated to version 2008g.,{'lastFix': None},
433,1e601794,FAIL,1,DateTimeZone data updated to version 2008f.,{'lastFix': None},
434,2490507f,FAIL,1,Added stable Chronology hash code implementations [2018795],{'lastFix': None},
435,07ab0b2f,FAIL,2,Fix period formatting printZeroRarelyFirst() [2025928] from Sarah Brake,{'lastFix': None},
436,2022a572,FAIL,1,Add OSGi manifest information [1889787] adapted from Barend Garvelink,{'lastFix': None},
437,baac178e,FAIL,1,Add OSGi manifest information [1889787] adapted from Barend Garvelink,{'lastFix': None},
438,08669f78,FAIL,1,DateTimeZone data updated to version 2008e.,{'lastFix': None},
439,d8fd2cec,FAIL,1,DateTimeZone data updated to version 2008d.,{'lastFix': None},
440,7eed68ff,FAIL,1,"Fix user guide example, bug 1945908",{'lastFix': None},
441,fae8b5a6,FAIL,2,DateTimeZone data updated to version 2008c.,{'lastFix': None},
442,c880847b,FAIL,1,DateTimeZone data updated to version 2008b.,{'lastFix': None},
443,20bd2451,FAIL,1,"Fix millisecond parsing, fix basic parsers too lenient",{'lastFix': None},
444,ad03b064,FAIL,1,Add since tags,{'lastFix': None},
445,d6dab6bf,FAIL,1,Fix copyright dates,{'lastFix': None},
446,b89707e6,FAIL,2,Add static factory methods to Duration [1909376],{'lastFix': None},
447,1b5988e3,FAIL,1,DateTimeFormat.forFields(List) method can't handle immutable [1877843],{'lastFix': None},
448,97c6db8a,FAIL,1,Prepare for v1.6,{'lastFix': None},
449,28676c0f,FAIL,1,Release scripts,{'lastFix': None},
450,582ba2ea,FAIL,2,Fixed offset time zones calculated incorrect periods - fix isPrecise(),{'lastFix': None},
451,826d38bc,FAIL,1,Switch to make v1.6 the next release,{'lastFix': None},
452,daec3672,FAIL,1,Release scripts,{'lastFix': None},
453,7283dc72,FAIL,2,Prepare for 1.0.2,{'lastFix': None},
454,7f691f72,FAIL,1,"Include .properties files in jar file, and prepare for 1.0.2",{'lastFix': None},
455,a003745a,FAIL,1,Updated time zone table documentation.,{'lastFix': None},
456,62ea1bfa,FAIL,1,"Fix Javadoc timezone definitions, from Simen Rokaas [Open discussion]",{'lastFix': None},
457,706ccf2e,FAIL,1,Fix document title,{'lastFix': None},
458,a478fe86,FAIL,2,ZonedChronology fix to roundFloor/roundCeiling (regression from 1.4) [1887104] Bug affected DST cutover in Autumn for time fields (not date fields),{'lastFix': None},
459,6f1b59b6,FAIL,1,Pre release 1.5.2,{'lastFix': None},
460,f7fa039a,FAIL,1,Pre release 1.5.2,{'lastFix': None},
461,3e6eded0,FAIL,1,Use correct Guatamala cutover date,{'lastFix': None},
462,98ab6879,FAIL,2,Javadoc,{'lastFix': None},
463,90791a77,FAIL,1,Note time zone update.,{'lastFix': None},
464,0c7b06d9,FAIL,1,Fix getOffsetFromLocal DST gap adjustment.,{'lastFix': None},
465,f2878d1c,FAIL,1,DateTimeZone data updated to version 2007k.,{'lastFix': None},
466,990fcfc0,FAIL,1,Improve Javadoc on Object constructors suggested by Gili Tzabari,{'lastFix': None},
467,1253e8c0,FAIL,1,Javadoc inspired by mistake in Hours spotted by Phil Brock,{'lastFix': None},
468,c4efa9ca,FAIL,2,Pre Release 1.5.1,{'lastFix': None},
469,e0dfeca3,FAIL,1,DateTimeZone data updated to version 2007j.,{'lastFix': None},
470,ecfddfa4,FAIL,1,"Add scope provided to maven project.xml, bug 1841568",{'lastFix': None},
471,857aaacf,FAIL,1,Support parsing all upper-case and all lower-case text,{'lastFix': None},
472,88551bde,FAIL,1,Support parsing all upper-case and all lower-case text,{'lastFix': None},
473,d78a89d2,FAIL,1,Update to use javax.* namespace on maven for dependencies,{'lastFix': None},
474,8ae44bbe,FAIL,2,Pre Release 1.0.1,{'lastFix': None},
475,ce6ca2df,FAIL,1,Post release 1.5,{'lastFix': None},
476,e9009a11,FAIL,1,"Assorted minor fixes, from Bob Japenga",{'lastFix': None},
477,66134183,FAIL,1,"Change ""Users guide"" to ""User guide""",{'lastFix': None},
478,7b910262,FAIL,1,Post release 1.5,{'lastFix': None},
479,5f7236c7,FAIL,1,Updated tz database to version 2007i.,{'lastFix': None},
480,b198acb9,FAIL,2,Fix bundle to be a jar not a zip,{'lastFix': None},
481,1129b311,FAIL,1,"Prepare for v1.5, Switch to JDK1.4, Switch to Emma",{'lastFix': None},
482,29c52d1e,FAIL,1,Abandon Maven 2,{'lastFix': None},
483,5ccd1def,FAIL,1,Add missing since tags for 1.5,{'lastFix': None},
484,ff5faa95,FAIL,1,Update release note compatibility from clirr,{'lastFix': None},
485,d3bf091a,FAIL,1,Reword US DST FAQ for clarity,{'lastFix': None},
486,19ed2b02,FAIL,1,Abandon Maven 2,{'lastFix': None},
487,575254b8,FAIL,4,Abandon Maven 2,{'lastFix': None},
488,2b1b575d,FAIL,2,Abandon Maven 2,{'lastFix': None},
489,6f386bb7,FAIL,2,Abandon Maven 2,{'lastFix': None},
490,1209751a,FAIL,2,Enable compilation on JDK 1.3,{'lastFix': None},
491,526ee264,FAIL,2,Maven 2,{'lastFix': None},
492,605c7215,FAIL,1,Sources now provided as a jar,{'lastFix': None},
493,08dac4fd,FAIL,1,Maven 2,{'lastFix': None},
494,4a9a2cf9,FAIL,1,Maven 2,{'lastFix': None},
495,44feb9f8,FAIL,2,Maven 2,{'lastFix': None},
496,be7b3ae4,FAIL,1,Maven 2,{'lastFix': None},
497,51dca08a,FAIL,1,Prepare for v1.5,{'lastFix': None},
498,5e0b12a0,FAIL,1,Add Islamic calendar to home page,{'lastFix': None},
499,08da459f,FAIL,1,Prepare for v1.5,{'lastFix': None},
500,6e2619ab,FAIL,1,Prepare for v1.5,{'lastFix': None},
501,906e96a5,FAIL,2,Deprecate YearMonthDay and TimeOfDay,{'lastFix': None},
502,0ebf8683,FAIL,1,Prepare for v1.5,{'lastFix': None},
503,119418fb,FAIL,1,Add Partial.isMatch(ReadablePartial),{'lastFix': None},
504,a201e395,FAIL,1,Fix test so it isn't influenced by DST cutover,{'lastFix': None},
505,69b17f73,FAIL,1,"Fix DateTime parsing of text containing non-letters, also make less greedy [1788282]",{'lastFix': None},
506,25443d7b,FAIL,1,Update tasks as Islamic chronology has been written,{'lastFix': None},
507,b35d679a,FAIL,2,DateTimeZone data updated to version 2007h,{'lastFix': None},
508,87557cda,FAIL,1,Switch meta-inf to META-INF,{'lastFix': None},
509,63f77324,FAIL,1,Prepare for v1.0,{'lastFix': None},
510,a99e4837,FAIL,1,Document period and duration persistence,{'lastFix': None},
511,b58f412c,FAIL,1,Store period and duration using ISO8601 string,{'lastFix': None},
512,bb9aea5d,FAIL,1,Updated to TZ version 2007g.,{'lastFix': None},
513,26dc14b0,FAIL,1,Eliminate redundant checks.,{'lastFix': None},
514,a5edf79d,FAIL,1,Guard against locale changing concurrently.,{'lastFix': None},
515,bffc316f,FAIL,1,Fixed defect in localized Gregorian/Julian symbol cache which severely impacted formatting performance when using null (default) locale.,{'lastFix': None},
516,9767bfc1,FAIL,1,Fixed @since tags.,{'lastFix': None},
517,19e969dd,FAIL,1,Added appendFixedDecimal and appendFixedSignedDecimal methods to DateTimeFormatterBuilder.,{'lastFix': None},
518,1cfa9b4c,FAIL,1,"Add LocalDate toDateTimeAtStartOfDay(), toDateTimeAtStartOfDay(DateTimeZone)",{'lastFix': None},
519,31de4ef4,FAIL,1,"Add Period normalizedStandard(), normalizedStandard(PeriodType) Fix Period withXxx() to throw UnsupportedOperationException",{'lastFix': None},
520,a13f93ca,FAIL,2,Add Period plus(ReadablePeriod) minus(ReadablePeriod),{'lastFix': None},
521,0472506e,FAIL,1,Add Period.toStandard*() methods - use UnsupportedOperationException,{'lastFix': None},
522,7c4c238b,FAIL,1,Add Period.toStandard*() methods - use UnsupportedOperationException,{'lastFix': None},
523,0d5c8e72,FAIL,1,Fix Period plus*() and minus*() to throw correct exception as per javadoc,{'lastFix': None},
524,d622c13d,FAIL,1,Add Period.toStandard*() methods,{'lastFix': None},
525,bd9fec94,FAIL,1,Fix javadoc,{'lastFix': None},
526,4b3ac22a,FAIL,2,Fix spelling,{'lastFix': None},
527,8cff9bb7,FAIL,1,Improve javadoc of BasePeriod toDurationFrom() and toDurationTo(),{'lastFix': None},
528,88406cda,FAIL,1,"Add Interval(long,long,DateTimeZone) constructor, emphasising that intervals include a time zone",{'lastFix': None},
529,3f5e2faf,FAIL,1,Clarify javadoc of forTimeZone to indicate that application created SimpleTimeZone rules are not parsed bug/rfe 1705180,{'lastFix': None},
530,c41eff1e,FAIL,1,"Fix DateTimeZone to better handle spring DST cutover bugs 1710316, 1747219, 1755158",{'lastFix': None},
531,7755b343,FAIL,1,Fix and test LenientChronology to ensure it works with time zones bug 1755161,{'lastFix': None},
532,fb7c0172,FAIL,1,"Clarify javadoc, suggested by Neil Martin",{'lastFix': None},
533,496a7466,FAIL,1,"Clarify javadoc, suggested by Neil Martin",{'lastFix': None},
534,dd15c2fc,FAIL,1,Fixed links to Subversion.,{'lastFix': None},
535,152fb03b,FAIL,1,Fixed links to Subversion.,{'lastFix': None},
536,9ab9cb1a,FAIL,1,Add isStandardOffset() to DateTimeZone,{'lastFix': None},
537,f446ad4c,FAIL,1,Add external link symbol to JSR-310 link,{'lastFix': None},
538,0ec9167b,FAIL,1,Update version to 1.5-SNAPSHOT,{'lastFix': None},
539,65969a12,FAIL,1,Fix bug where some time zones (S.Africa) use same abbreviated zone name for summer and winter bug 1716305,{'lastFix': None},
540,79ce64e7,FAIL,1,Remove system.out and formatting,{'lastFix': None},
541,7f964c8e,FAIL,1,Remove US/Canada DST change note,{'lastFix': None},
542,f19323cd,FAIL,1,Fix mailing list links,{'lastFix': None},
543,ddd50d27,FAIL,1,Fix DateTimeFormat javadoc to explain time zone parsing restriction better [OpenDiscussion 1721909],{'lastFix': None},
544,9b01b9e8,FAIL,1,Fix bug where some time zones (Australia) use same abbreviated zone name for summer and winter bug 1716305,{'lastFix': None},
545,72466a53,FAIL,2,Bug fix: LenientChronology might incorrectly adjust a valid hour field near DST transition,{'lastFix': None},
546,7ad12078,FAIL,1,Updated tz database to version 2007f.,{'lastFix': None},
547,3c10f161,FAIL,1,renaming for consistency,{'lastFix': None},
548,dd707bbe,FAIL,1,contributing hibernate support for Duration and Period,{'lastFix': None},
549,9eca1233,FAIL,1,Add AbstractPeriod.toString(PeriodFormatter),{'lastFix': None},
550,27b6a8b0,FAIL,1,Add project URL,{'lastFix': None},
551,9b298d56,FAIL,2,Add LocalDate.toLocalDateTime,{'lastFix': None},
552,bf41214e,FAIL,1,Ensure conversion to j.u.TimeZone produces best matching object possible,{'lastFix': None},
553,eadcce77,FAIL,1,Ensure conversion to j.u.TimeZone produces best matching object possible,{'lastFix': None},
554,c099c115,FAIL,1,Avoid reflection issue reported from Apache Harmony bug 1699760,{'lastFix': None},
555,44e2b455,FAIL,1,More performance enhancements for Local* classes,{'lastFix': None},
556,94d10c71,FAIL,1,Javadoc,{'lastFix': None},
557,de71818a,FAIL,2,Updated tz database to version 2007e.,{'lastFix': None},
558,be32ff32,FAIL,1,Added TestUnsupportedDateTimeField to exercise all methods in UnsupportedDateTimeField. Modified TestAll.java to include this test suite.,{'lastFix': None},
559,aa114f07,FAIL,1,DateTimeZone did not properly convert fixed offset zones to java.util.TimeZone,{'lastFix': None},
560,9378383c,FAIL,1,Updated tz database to version 2007d.,{'lastFix': None},
561,1b63785f,FAIL,1,Updated tz database to version 2007d.,{'lastFix': None},
562,4109251f,FAIL,1,Add javadoc to explain exception thrown when conversion to zoned datetime is invalid due to time zone,{'lastFix': None},
563,f0b7de08,FAIL,1,Period formatting could end up in an infinite loop on IBM JDK 1.4.2 problem investigated by Jeroen van Erp with patch supplied,{'lastFix': None},
564,2e7de31b,FAIL,2,Add tests to show pivot year parse works,{'lastFix': None},
565,909aa72e,FAIL,1,Updated tz database to version 2007c.,{'lastFix': None},
566,9cb266b7,FAIL,1,"Performance enhancement to comparison of LocalDate, LocalTime and LocalDateTime suggested by Francois Staes",{'lastFix': None},
567,9aa6681d,FAIL,1,Fix period formating from throwing NegativeArraySizeException,{'lastFix': None},
568,1aea267f,FAIL,1,Handle ibiblio changes,{'lastFix': None},
569,d9e629e9,FAIL,1,"Minor test case optimisation, from Antonio Leita",{'lastFix': None},
570,3fce0d10,FAIL,2,"Fix spelling error, from Guilherme Chapiewski Add JSR 310 link",{'lastFix': None},
571,21baaea4,FAIL,1,Update page now 2007b is available,{'lastFix': None},
572,0952c633,FAIL,1,"Spelling error, from Pascal Pugatsch",{'lastFix': None},
573,a5922db3,FAIL,1,FAQ on US/Canada DST change,{'lastFix': None},
574,903a0ac2,FAIL,1,Updated FAQ to include info on new US and Canada timezone rules.,{'lastFix': None},
575,14589947,FAIL,1,Fixes to make maven happy,{'lastFix': None},
576,514d80be,FAIL,2,Tidy user guide,{'lastFix': None},
577,3568f72d,FAIL,1,Update Joda-Beans link,{'lastFix': None},
578,4d6a1ecf,FAIL,1,Add and update Joda ASF2 license,{'lastFix': None},
579,1945a52f,FAIL,1,Update to Joda-Time 1.3 jar file,{'lastFix': None},
580,76f61a20,FAIL,1,"added documentation, adjusted joda-time version",{'lastFix': None},
581,82e15b2b,FAIL,1,added persister for LocalDate and LocalTime,{'lastFix': None},
582,0f4a7110,FAIL,1,"Fix spelling error, from Jean-Philippe Martin by email",{'lastFix': None},
583,93c99e29,FAIL,1,LocalDate/LocalTime conostructors did not set internal state correctly spotted via problem with Days.daysBetween from Gareth Chapman,{'lastFix': None},
584,576bf106,FAIL,1,Update the release notes for version 1.5,{'lastFix': None},
585,c0de5a91,FAIL,1,Updated tz database to version 2007a.,{'lastFix': None},
586,fef81cb6,FAIL,1,"In nullSafeGet(), changed variable name from begin to start for consistency.",{'lastFix': None},
587,8d98570d,FAIL,1,Changed method curly brace placement.,{'lastFix': None},
588,800e925b,FAIL,1,Changed class curly brace placement.,{'lastFix': None},
589,d10d1575,FAIL,2,Initial import of Persistent Interval support.,{'lastFix': None},
590,ef66bcdf,FAIL,1,Updated tz database to version 2006p.,{'lastFix': None},
591,ad3e968d,FAIL,1,Workaround for ConcurrentModificationException by some JVMs.,{'lastFix': None},
592,4ed0a632,FAIL,1,Javadoc,{'lastFix': None},
593,0fc3fc03,FAIL,1,Pre release 1.4,{'lastFix': None},
594,3831b300,FAIL,1,Pre release 1.4,{'lastFix': None},
595,513a3a99,FAIL,1,Rephrase related projects section,{'lastFix': None},
596,72c5b594,FAIL,1,Javadoc,{'lastFix': None},
597,320d7ec6,FAIL,1,Updated tz database to version 2006o.,{'lastFix': None},
598,0abca338,FAIL,1,Add related projects page to advertise OSS projects built on top of Joda-Time,{'lastFix': None},
599,0ad244a6,FAIL,1,Fix minor spelling error pointed out by Matt Benson.,{'lastFix': None},
600,08edc657,FAIL,1,Copyright date,{'lastFix': None},
601,f582cd6c,FAIL,1,Improve javadoc around min printed digits and max parsed digits,{'lastFix': None},
602,5dd55066,FAIL,2,"Add PeriodFormatBuilder.append(PeriodPrinter,PeriodParser)",{'lastFix': None},
603,2ca30169,FAIL,1,Add reference to bug report number,{'lastFix': None},
604,98181a71,FAIL,1,Change negate() to negated(),{'lastFix': None},
605,b1798187,FAIL,1,Fight against spam,{'lastFix': None},
606,093dc651,FAIL,1,Link fields page to index page,{'lastFix': None},
607,e725574c,FAIL,2,Rewrite period documentation to cover single-field periods,{'lastFix': None},
608,0046b029,FAIL,1,"Update support section, reduce examples",{'lastFix': None},
609,9c2c0a1c,FAIL,1,Correct HTML error,{'lastFix': None},
610,ac208e7a,FAIL,1,Rewrite day calculation FAQ to reference Days class,{'lastFix': None},
611,7a4ecb42,FAIL,1,Add months example to emphasise single field API,{'lastFix': None},
612,12c4a5df,FAIL,1,Basic obfuscation of email addresses,{'lastFix': None},
613,6386a8d3,FAIL,2,Update example with isGreaterThan method,{'lastFix': None},
614,d0a3f0ee,FAIL,1,Add isGreaterThan/isLessThan methods,{'lastFix': None},
615,c87ef968,FAIL,1,Enhance docs for single field periods,{'lastFix': None},
616,4d329e15,FAIL,1,Improve Javadoc links,{'lastFix': None},
617,28e8aade,FAIL,1,Enhance docs for single field periods,{'lastFix': None},
618,1b5a0893,FAIL,1,Add docs on time zone updating,{'lastFix': None},
619,e541f5fd,FAIL,2,Improve Javadoc on single field periods,{'lastFix': None},
620,f0d875fe,FAIL,1,Improve Javadoc on single field periods,{'lastFix': None},
621,9d1583cd,FAIL,1,Fix bug where Chronology instances were compared by identity instead of equals(),{'lastFix': None},
622,5e5300bf,FAIL,1,Updated tz database to version 2006n.,{'lastFix': None},
