Previous HEAD position was 2163fa94a7 Fix initialization issue in ReactorResourceFactory
HEAD is now at d303c8a20f Store PathPattern instead of String in attributes
[ BUILD CHECKER ] bb5c8ed commit already checked: SUCCESS
[ BUILD CHECKER ] c01f350 commit already checked: SUCCESS
[ BUILD CHECKER ] 928c541 commit already checked: FAIL
[ BUILD CHECKER ] bef22ec commit already checked: SUCCESS
[ BUILD CHECKER ] 29ff8a8 commit already checked: SUCCESS
[ BUILD CHECKER ] af6a556 commit already checked: SUCCESS
[ BUILD CHECKER ] 635d214 commit already checked: SUCCESS
[ BUILD CHECKER ] ccce61e commit already checked: SUCCESS
[ BUILD CHECKER ] 9630445 commit already checked: SUCCESS
[ BUILD CHECKER ] 1c90d48 commit already checked: SUCCESS
[ BUILD CHECKER ] d16a710 commit already checked: SUCCESS
[ BUILD CHECKER ] 4d24503 commit already checked: SUCCESS
[ BUILD CHECKER ] 1489457 commit already checked: SUCCESS
[ BUILD CHECKER ] 9064ef5 commit already checked: SUCCESS
[ BUILD CHECKER ] 983bce1 commit already checked: SUCCESS
[ BUILD CHECKER ] 80e7819 commit already checked: SUCCESS
[ BUILD CHECKER ] cb4fa37 commit already checked: SUCCESS
[ BUILD CHECKER ] 9d5aced commit already checked: SUCCESS
[ BUILD CHECKER ] ff7ccf0 commit already checked: SUCCESS
[ BUILD CHECKER ] 9975646 commit already checked: SUCCESS
[ BUILD CHECKER ] 38e5c01 commit already checked: SUCCESS
[ BUILD CHECKER ] 3ff5731 commit already checked: SUCCESS
[ BUILD CHECKER ] 1320fed commit already checked: SUCCESS
[ BUILD CHECKER ] e63bffc commit already checked: SUCCESS
[ BUILD CHECKER ] 77205ca commit already checked: SUCCESS
[ BUILD CHECKER ] 31095f1 commit already checked: SUCCESS
[ BUILD CHECKER ] 49bc746 commit already checked: SUCCESS
[ BUILD CHECKER ] 1b8421c commit already checked: SUCCESS
[ BUILD CHECKER ] 00353a0 commit already checked: SUCCESS
[ BUILD CHECKER ] 9fed4d0 commit already checked: SUCCESS
[ BUILD CHECKER ] fc03707 commit already checked: SUCCESS
[ BUILD CHECKER ] 7aa9334 commit already checked: SUCCESS
[ BUILD CHECKER ] a8f4c59 commit already checked: SUCCESS
[ BUILD CHECKER ] 058f027 commit already checked: SUCCESS
[ BUILD CHECKER ] 2ec41c8 commit already checked: SUCCESS
[ BUILD CHECKER ] ad29f97 commit already checked: SUCCESS
[ BUILD CHECKER ] 9063e66 commit already checked: SUCCESS
[ BUILD CHECKER ] d6dfde3 commit already checked: SUCCESS
[ BUILD CHECKER ] 333e327 commit already checked: SUCCESS
[ BUILD CHECKER ] 255015f commit already checked: SUCCESS
[ BUILD CHECKER ] 6ff8cd8 commit already checked: SUCCESS
[ BUILD CHECKER ] 18c9e3e commit already checked: SUCCESS
[ BUILD CHECKER ] a76b8de commit already checked: SUCCESS
[ BUILD CHECKER ] 7ca6b9f commit already checked: SUCCESS
[ BUILD CHECKER ] 51ba322 commit already checked: SUCCESS
[ BUILD CHECKER ] 9e2912e commit already checked: SUCCESS
[ BUILD CHECKER ] 6d22632 commit already checked: SUCCESS
[ BUILD CHECKER ] 45ecfc6 commit already checked: SUCCESS
[ BUILD CHECKER ] 59e87f9 commit already checked: SUCCESS
[ BUILD CHECKER ] 917bb53 commit already checked: SUCCESS
[ BUILD CHECKER ] f7263ab commit already checked: SUCCESS
[ BUILD CHECKER ] 2a6da6a commit already checked: SUCCESS
[ BUILD CHECKER ] 92b3f2a commit already checked: SUCCESS
[ BUILD CHECKER ] 80e52de commit already checked: SUCCESS
[ BUILD CHECKER ] 7562761 commit already checked: SUCCESS
[ BUILD CHECKER ] 3f5a7bb commit already checked: SUCCESS
[ BUILD CHECKER ] 093a863 commit already checked: SUCCESS
[ BUILD CHECKER ] 90c29b3 commit already checked: SUCCESS
[ BUILD CHECKER ] f783967 commit already checked: SUCCESS
[ BUILD CHECKER ] 47d6e91 commit already checked: SUCCESS
[ BUILD CHECKER ] b6b880c commit already checked: SUCCESS
[ BUILD CHECKER ] 7481d73 commit already checked: SUCCESS
[ BUILD CHECKER ] 288a9ec commit already checked: SUCCESS
[ BUILD CHECKER ] a278e87 commit already checked: SUCCESS
[ BUILD CHECKER ] 082c524 commit already checked: SUCCESS
[ BUILD CHECKER ] d3c0855 commit already checked: SUCCESS
[ BUILD CHECKER ] 50c9542 commit already checked: SUCCESS
[ BUILD CHECKER ] a6f9c4c commit already checked: SUCCESS
[ BUILD CHECKER ] af58263 commit already checked: SUCCESS
[ BUILD CHECKER ] 8a48353 commit already checked: SUCCESS
[ BUILD CHECKER ] 1756f83 commit already checked: SUCCESS
[ BUILD CHECKER ] d94e922 commit already checked: SUCCESS
