id,commit,build,exec_time,comment,fix
81,1b8421c,SUCCESS,42,Fix MockCookie parsing when attribute is omitted,{}
82,00353a0,SUCCESS,45,fixed further typo,{}
83,9fed4d0,SUCCESS,45,do you mean 'compose'?,{}
84,fc03707,SUCCESS,45,fixed ContentNegotiationConfigurer,{}
85,7aa9334,SUCCESS,47,Update links to http://java.net/jira,{}
86,a8f4c59,SUCCESS,46,Fix trivial errors in data-access and core-aop in docs,{}
87,058f027,SUCCESS,46,Upgrade to Kotlin 1.2.71 and Netty 4.1.30,{}
88,2ec41c8,SUCCESS,46,Polishing,{}
89,ad29f97,SUCCESS,45,Polishing,{}
90,9063e66,SUCCESS,49,AbstractApplicationEventMulticaster pre-sorts singleton listeners,{}
91,d6dfde3,SUCCESS,43,LogFactoryService implements Commons Logging attribute methods,{}
92,333e327,SUCCESS,46,Revised javadoc for up-to-date constructor autowiring semantics,{}
93,255015f,SUCCESS,43,Prepared for backport to 4.3.20 and 5.0.10,{}
94,6ff8cd8,SUCCESS,46,Merge pull request #1967 from cac03,{}
95,18c9e3e,SUCCESS,45,Fix trivial errors in core-beans documentation,{}
96,a76b8de,SUCCESS,45,Consistent copyright header and fine-tuned javadoc in test/web mocks,{}
97,7ca6b9f,SUCCESS,47,Fix copyright header,{}
98,51ba322,SUCCESS,48,MockHttpServletRequest allows for removing registered header values,{}
99,9e2912e,SUCCESS,45,Fix source code callouts in Reference Manual,{}
100,6d22632,SUCCESS,45,Editing pass for the integration and languages chapters.,{}
101,45ecfc6,SUCCESS,43,Fix source code callouts in Reference Manual,{}
102,59e87f9,SUCCESS,44,Fix heading levels in Reference Manual,{}
103,917bb53,SUCCESS,46,Fix formatting in Data Access chapter,{}
104,f7263ab,SUCCESS,45,Fix broken links in Testing chapter,{}
105,2a6da6a,SUCCESS,45,Next Development Version,{}
106,92b3f2a,SUCCESS,53,Document timeout configuration for Reactor HttpClient,{}
107,80e52de,SUCCESS,44,Upgrade to HtmlUnit 2.33 and Apache Johnzon 1.1.10,{}
108,7562761,SUCCESS,51,Ordered streams consistently operate on resolved bean instances,{}
109,3f5a7bb,SUCCESS,49,Remove snapshot repository from build setup,{}
110,093a863,SUCCESS,45,Upgrade to Gradle 4.10.2,{}
111,90c29b3,SUCCESS,117,Upgrade to Reactor Californium RELEASE,{}
112,f783967,SUCCESS,63,Don't set role in Kotlin bean DSL unless specified,{}
113,47d6e91,SUCCESS,48,Leverage non-default ctor support in Kotlin bean DSL,{}
114,b6b880c,SUCCESS,52,Polishing,{}
115,7481d73,SUCCESS,47,WebFlux HandshakeInfo exposes the remoteAddress,{}
116,288a9ec,SUCCESS,47,Exposes maxFramePayloadLength for Reactor Netty,{}
117,a278e87,SUCCESS,47,Upgrade to Jackson 2.9.7,{}
118,082c524,SUCCESS,47,Polishing,{}
119,d3c0855,SUCCESS,46,Revisit GenericApplicationContext.registerBean constructor handling,{}
120,50c9542,SUCCESS,46,"Prefer explicit ""org.quartz.scheduler.instanceName"" over bean name",{}
121,a6f9c4c,SUCCESS,45,LogFormatUtils is declared abstract,{}
122,af58263,SUCCESS,46,Fix formatting in Testing chapter,{}
123,8a48353,SUCCESS,45,Use doOnDiscard to free internally queued data buffers,{}
124,1756f83,SUCCESS,47,Defensively expect concurrent registration of BeanPostProcessors,{}
125,d94e922,SUCCESS,44,Switch to Reactor Californium SNAPSHOTs,{}
126,65ca7f4,SUCCESS,46,Polishing,{}
127,0204b08,SUCCESS,46,Fix jdbc template error messages generation,{}
128,5b25aaa,SUCCESS,46,Apply consistent formatting in Testing chapter,{}
129,6431b25,SUCCESS,44,Revise Testing chapter for technical correctness,{}
130,745aeda,SUCCESS,43,Fix typos in testing sections of Reference Manual,{}
131,c634b2f,SUCCESS,46,ResolvableType-based resolution uses BeanNamesByType cache if possible,{}
132,00a3afc,SUCCESS,45,Edit the Web chapter of the reference documentation,{}
133,b29a278,SUCCESS,42,Edit Data Access part of the reference documentation,{}
134,95ff22c,SUCCESS,46,Edit the testing part of the reference documentation,{}
135,395e3d0,SUCCESS,46,Edit the core content reference documentation,{}
136,d0ada56,SUCCESS,47,Polish,{}
137,0948edb,SUCCESS,44,Nested configuration class introspection check on concrete class,{}
138,c8869d9,SUCCESS,44,Deprecate autowire attribute on @Bean annotation,{}
139,69e8bcd,SUCCESS,46,Checkstyle updates from ASM master,{}
140,c385a1d,SUCCESS,46,Polishing,{}
141,88ab911,SUCCESS,46,Provide matched pattern information in WebFlux fn,{}
142,51f7a3e,SUCCESS,48,Polishing,{}
143,3466330,SUCCESS,44,Avoid regex pattern matching for simple String replacement steps,{}
144,cc87fbc,SUCCESS,46,Fix javadoc comments to match behaviour,{}
145,c4aea62,SUCCESS,46,Update Kotlin bean DSL with new BeanDefinition methods,{}
146,a680880,SUCCESS,46,Restore attributes for failed AND/OR request predicates,{}
147,8e83f14,SUCCESS,46,Polishing,{}
148,db8e9ea,SUCCESS,46,Add LogFormatUtils,{}
149,41d4cb5,SUCCESS,44,Ordered stream access on ObjectProvider with strong order guarantees,{}
150,12240c7,SUCCESS,47,Apply formatValue to a few remaining places,{}
151,e62298e,SUCCESS,46,Truncate logged encoded and decoded values if necessary,{}
152,66c66ba,SUCCESS,46,Upgrade to Rhino 1.7.10,{}
153,cf96416,SUCCESS,44,StompSubProtocolHandler allows version 1.0,{}
154,97cea7f,SUCCESS,48,BeanDefinition interface exposes initMethodName and destroyMethodName,{}
155,77887ef,SUCCESS,46,BeanValidationPostProcessor validates singleton target behind proxy,{}
156,cbc0fad,SUCCESS,45,Upgrade to Kotlin 1.2.70,{}
157,65c8fa4,SUCCESS,140,Consistent ordered list access and lazy streaming for ObjectProvider,{}
158,0685651,SUCCESS,54,Add a BeanFactory#getBeanProvider Kotlin extension,{}
159,cde677a,SUCCESS,49,Fixed DefaultDataBuffer.toString(),{}
160,184340f,SUCCESS,49,Remove duplicate blank in log message of  ExecutorConfigurationSupport#initialize,{}
161,9cb8b4b,SUCCESS,48,Upgrade to Gradle 4.10.1,{}
162,b6d32ef,SUCCESS,235,Bean definition DSL generates unique bean names for bean classes,{}
163,b83bc39,SUCCESS,51,Restrict nested configuration class introspection to component types,{}
164,45936f0,SUCCESS,49,ClassReader revision from ASM master,{}
165,43a814b,SUCCESS,48,Remove duplicate assertions in AsyncExecutionTests,{}
166,bffa4b8,SUCCESS,49,Upgrade to JUnit 5.3.1,{}
167,dcac30c,SUCCESS,54,Upgrade to Tomcat 9.0.12 and SnakeYAML 1.23,{}
168,f35f7db,SUCCESS,52,Removed deprecated methods.,{}
169,09af706,SUCCESS,48,Use concatWith instead of mergeWith,{}
170,1a0522b,SUCCESS,47,DataBufferUtils does not release DataBuffer on error cases,{}
171,1da4d50,SUCCESS,47,Upgrade to ASM master (7.0 beta) and CGLIB 3.2.8,{}
172,e473550,SUCCESS,47,Correct linkplain javadoc in BufferingClientHttpRequestFactory,{}
173,2820831,SUCCESS,50,Unit test with assertion for merged query params,{}
174,c06b952,SUCCESS,51,UriComponentsBuilder copies query params through MultiValueMap.addAll,{}
175,e49896d,SUCCESS,55,"Upgrade to Mockito 2.22, XMLUnit 2.6.2, JavaMail 1.6.2",{}
176,6c487f7,SUCCESS,56,Revise ServletUriComponentsBuilder javadoc,{}
177,aa848d5,SUCCESS,59,Fix typo on javadoc,{}
178,3abebb3,SUCCESS,53,Polishing,{}
179,87fac79,SUCCESS,55,Upgrade to RxJava 2.2.2,{}
180,90a4740,SUCCESS,59,Polishing,{}
181,c803ad7,SUCCESS,56,ConfigurationClassParser consistently uses ClassUtils.forName,{}
182,84ec382,SUCCESS,56,XMLEventReader.getElementText() properly checks for start element,{}
183,8d45e3e,SUCCESS,53,Fix Kotlin inner class nested configuration handling,{}
184,c8627c0,SUCCESS,56,Upgrade to Reactor Californium RC1,{}
185,f30d19b,FAIL,47,Disable Jackson's buffer recyling feature for WebFlux,{}
186,2163fa9,FAIL,39,Fix initialization issue in ReactorResourceFactory,{}
187,f55a605,FAIL,16,Document default embedded value resolver support for property placeholders,{}
188,c450f8d,FAIL,1,"Revert ""PoC: migrate from JUnit 4 to JUnit Jupiter Assertions""",{}
189,fd352b8,FAIL,1,PoC: migrate from JUnit 4 to JUnit Jupiter Assertions,{}
190,8658a35,FAIL,1,Upgrade to Californium snapshots,{}
191,d537a1c,FAIL,1,Refine ReactorResourceFactory,{}
192,3302798,FAIL,1,Use random id for WebSocket sessions,{}
193,d570f82,FAIL,1,Use long for expires and lastModified in HeaderAssertions,{}
194,f87a37f,FAIL,1,Fix SpEL compilation for non trivial elvis operand,{}
195,48c660f,FAIL,2,Add support for empty router in RouterFunctionDsl,{}
196,f8a0e3d,FAIL,1,Support RenderingResponse in RouterFunctionDsl,{}
197,259b2ca,FAIL,2,Added tests for errors in the source stream,{}
198,196c0ad,FAIL,1,Fixed DataBufferUtils.join leak for error in source,{}
199,3067682,FAIL,1,Upgrade to Hibernate ORM 5.3.6 and OpenPDF 1.2.2,{}
200,7041e5e,FAIL,1,Upgrade to Jetty 9.4.12.v20180830,{}
201,1bdbc7b,FAIL,1,Optimize for Flux to/from Mono conversions,{}
202,bff2d2c,FAIL,1,Polishing,{}
203,ab086f4,FAIL,2,Fix fragile tests for asynchronous events,{}
204,3268952,FAIL,1,Polishing,{}
205,2c1dca5,FAIL,1,Polish capitalisation of units on DataSize and javadoc of DataUnit,{}
206,454cd93,FAIL,1,Upgrade to JUnit Jupiter 5.3,{}
207,dcdf9c0,FAIL,1,Merge pull request #894 from keik:typo,{}
208,c258507,FAIL,1,Fix typos,{}
209,95a56cd,FAIL,1,Polishing,{}
210,51cee65,FAIL,1,SpelExpression consistently exposes EvaluationContext to compiled AST,{}
211,8c6f350,FAIL,1,Transactional timeout documented as seconds in annotation javadoc,{}
212,78cad0f,FAIL,1,HibernateTransactionManager lazily acquires JDBC Connection,{}
213,a689daa,FAIL,1,Complete upgrade to Gradle 4.10,{}
214,fb3c188,FAIL,1,Upgrade to Gradle 4.10,{}
215,280da61,FAIL,17,Fix empty body writing in EncoderHttpMessageWriter,{}
216,1dac0df,FAIL,2,Prevent instantiation of NamedParameterBatchUpdateUtils,{}
217,7dba79c,FAIL,2,"Use String::isEmpty instead of """".equals(arg) when arg is not null",{}
218,4883b8a,FAIL,2,Polish JavaDoc for @Configuration,{}
219,08ba53d,FAIL,2,Ensure SocketUtils can be instantiated,{}
220,52c9191,FAIL,2,Polish JavaDoc for @Configuration,{}
221,4b86d42,FAIL,3,Upgrade to Netty 4.1.29,{}
222,03f1920,FAIL,2,Support Jackson filters in combination with serialization view,{}
223,7056808,FAIL,2,"Upgrade to Kotlin 1.2.61, RxJava 2.2.1, Tomcat 9.0.11",{}
224,9614817,FAIL,2,"Do not proxy test instances based on ""original instance"" convention",{}
225,f6ee250,FAIL,2,Clean up warning in AnnotatedElementUtils,{}
226,2bb15f7,FAIL,2,Fix grammar in JavaDoc for fully qualified links,{}
227,482115f,FAIL,3,"Revert ""Make DispacherServlet attributes protected""",{}
228,35c847a,FAIL,2,Polish JavaDoc for JCache support,{}
229,253ffd7,FAIL,3,Make DispacherServlet attributes protected,{}
230,62cb8ba,FAIL,1865,Editing pass for the Spring Framework Reference Guide,{}
231,7fdd137,FAIL,2,Merge pull request #1938 from izeye:polish-20180823,{}
232,4db5d28,FAIL,2,Polish,{}
233,f13f041,FAIL,1,Consistent trace logging for init and destroy methods,{}
234,6ef0938,FAIL,1,Defensive URL cleaning (preserving the original URL if possible),{}
235,c55a907,FAIL,1,Fix typo in CONTRIBUTING.md,{}
236,709b185,FAIL,1,Clear global resources reference from HttpResources,{}
237,89e2caa,FAIL,2,Merge pull request #1934 from kylec32:websocket-documentation-remove-deprecated,{}
238,8848e6a,FAIL,1,Fix usage of deprecated functionality in docs,{}
239,a8fbac8,FAIL,1,Polish JavaDoc,{}
240,1d59e52,FAIL,2,EventListenerMethodProcessor accepts internal configuration classes,{}
241,a6a6cf7,FAIL,2,Upgrade to Java Activation Framework 1.2 as API dependency,{}
242,2ac23ba,FAIL,1,SimpleAliasRegistry.hasAlias properly resolves multiple chained aliases,{}
243,ad88c02,FAIL,2,Restore formatting change following revert,{}
244,4989843,FAIL,1,"Revert ""Add handleFailure property to FrameworkServlet""",{}
245,0dd9e8c,FAIL,2,Polish JettyResourceFactory,{}
246,6bcb454,FAIL,1,Polishing,{}
247,84300b7,FAIL,1,Fix recent javadoc errors,{}
248,1eb06fc,FAIL,1,Introduce JettyResourceFactory,{}
249,50b6f9d,FAIL,1,Reference documentation covers async Hibernate/JPA bootstrap options,{}
250,31c7807,FAIL,1,Fix doc issue with Reactor HttpClient config,{}
251,04d2d1d,FAIL,1,Consistently use double quotes (even if no interpolation needed),{}
252,dc55da0,FAIL,1,Polishing,{}
253,5d7fb1a,FAIL,1,Polishing,{}
254,2ec8fa9,FAIL,1,SmartLifecycle default methods for auto-startup in default phase,{}
255,446a604,FAIL,1,Upgrade to Reactor Californium-M2,{}
256,cd403f4,FAIL,1,Polish,{}
257,23fc6f6,FAIL,1,Drain JDK HTTP client response body in all cases,{}
258,432cdd7,FAIL,1,Add ResponseEntity.of(Optional) variant,{}
259,d3be1cc,FAIL,1,Use single quotes in Gradle build where appropriate,{}
260,69e4f21,FAIL,1,Use JUnit 5 Maven BOM in Gradle build,{}
261,109a2b4,FAIL,1,Consistently skip unnecessary search on superclasses and empty elements,{}
262,50dc8c2,FAIL,1,Update JavaDoc for @BootstrapWith regarding local override,{}
263,d20d95b,FAIL,1,Allow directly present @BootstrapWith to override meta annotations,{}
264,4d7b265,FAIL,2,Fix merge conflict in reference manual,{}
265,f2506ca,FAIL,1,"Revert ""Infer HTTP 404 from empty Optional/Publisher types""",{}
266,1b54d21,FAIL,1,Polishing,{}
267,a87b319,FAIL,1,Polishing,{}
268,7e91733,FAIL,1,Infer HTTP 404 from empty Optional/Publisher types,{}
269,04141de,FAIL,1,Consistent logging of resolved exceptions,{}
270,6027cf2,FAIL,1,Polishing,{}
271,c0c9e08,FAIL,1,"Revised documentation for PDF, Excel and JSON views",{}
272,de38af6,FAIL,2,Upgrade to JUnit Jupiter 5.3 RC1 (and Jetty 9.4.12 RC1),{}
273,3e4d305,FAIL,1,Polish ReactorResourceFactory,{}
274,7a0c03e,FAIL,2,Update section in reference on WebClient,{}
275,2f732a8,FAIL,1,Fix checkstyle errors,{}
276,1bc08c6,FAIL,2,Add ReactorResourceFactory,{}
277,bdac391,FAIL,1,Polish contribution,{}
278,24ed6de,FAIL,2,Add backslash escape support to containsSqlScriptDelimiters,{}
279,ac54492,FAIL,1,Polishing,{}
280,04a7f08,FAIL,2,SpringCacheAnnotationParser.parseCacheAnnotations cannot be protected,{}
281,999c780,FAIL,2,Refined warn/info logging in AutowiredAnnotationBeanPostProcessor,{}
282,347852e,FAIL,2,Avoid argument resolution overhead for no-arg factory methods,{}
283,777bd0d,FAIL,1,Fix Checkstyle violation in JCacheCache,{}
284,aebbd94,FAIL,1,Suppress deprecation warnings in AnnotationProcessorPerformanceTests,{}
285,8126ffb,FAIL,1,Fix broken links in JavaDoc,{}
286,13c090b,FAIL,1,Generate “Use” links in aggregated Spring API JavaDoc,{}
287,1dcb623,FAIL,2,Fix broken links in JavaDoc,{}
288,99f0129,FAIL,1,Fix URI var encoding issue with '$',{}
289,430065c,FAIL,2,Order property for SimpUserRegistry,{}
290,5322fa0,FAIL,1,Use an import instead of FQCN,{}
291,20d0221,FAIL,1,Use an import instead of FQCN,{}
292,df51ff0,FAIL,1,Revert to Map entry iteration for less expensive static initialization,{}
293,cfb1ed1,FAIL,2,Clean up warnings and delete dead code,{}
294,c4a7567,FAIL,1,Post-processors consistently ignore ScopedObject/AopInfrastructureBean,{}
295,8d08935,FAIL,1,Disable quotes substitution in code sample,{}
296,30b8d47,FAIL,1,Polish,{}
297,71d4dbe,FAIL,2,Post-processors ignore AopInfrastructureBean (includes ScopedObject),{}
298,8bf8092,FAIL,1,Post-processors consistently ignore ScopedObject/AopInfrastructureBean,{}
299,fc16b2d,FAIL,2,AbstractHandlerMethodMapping allows for customized bean retrieval,{}
300,2b2a5a4,FAIL,1,Polishing,{}
301,f931a3f,FAIL,1,Improve DataSize to support negative values,{}
302,aef39e8,FAIL,1,Remove test class added by mistake,{}
303,aebb2d5,FAIL,1,Logging refinements for transaction and cache processing (debug/trace),{}
304,def6fbb,FAIL,1,ListableBeanFactory.getBeansWithAnnotation does not include null beans,{}
305,c437a0d,FAIL,1,Declare default methods for supportsSourceType and getOrder,{}
306,309ffc6,FAIL,1,OverflowStrategy in ConcurrentWebSocketSessionDecorator,{}
307,61c52d6,FAIL,1,Polish ConcurrentWebSocketSessionDecoratorTests,{}
308,282a4ad,FAIL,1,Fix checkstyle violations,{}
309,8a1588a,FAIL,1,Add support for DataSize,{}
310,85ad2a5,FAIL,1,Merge pull request #1918 from vpavic:polish-build,{}
311,4d86779,FAIL,1,Polish build script,{}
312,20f2e23,FAIL,1,Polishing,{}
313,8ea9133,FAIL,1,Link to Eclipse bug for annotations on bridge methods,{}
314,b3ca2d5,FAIL,1,DefaultLifecycleProcessor properly counts dependent beans in same phase,{}
315,3a5def0,FAIL,1,"@Scheduled supports ""-"" as cron expression value for disabled triggers",{}
316,eddbf13,FAIL,1,BeanFactoryUtils caches transformedBeanName results for factory beans,{}
317,6b6384a,FAIL,1,Improve WebFlux Protobuf support,{}
318,8e571de,FAIL,1,Polishing,{}
319,8f513f8,FAIL,1,AnnotationMatchingPointcut uses AnnotatedElementUtils.hasAnnotation,{}
320,57ded51,FAIL,1,Fix link from Spring MVC to OXM chapter,{}
321,915afa7,FAIL,1,Polishing,{}
322,58e9706,FAIL,1,Polishing,{}
323,65f29a3,FAIL,2,AbstractAspectJAdvisorFactory uses AnnotationUtils.getValue,{}
324,7cf9826,FAIL,1,Polishing,{}
325,247ec57,FAIL,2,Consistent hasAnnotation check for findMergedAnnotation lookup,{}
326,3f7d4b1,FAIL,1,Avoid unnecessary annotation introspection on framework classes,{}
327,4521a79,FAIL,1,Find annotations on implemented generic superclass methods as well,{}
328,fa72186,FAIL,1,Expose checkbox field marker as 'hidden' to RequestDataValueProcessor,{}
329,b8b6367,FAIL,2,ConcurrentModel ignores null value for put (also used by putAll),{}
330,7077af1,FAIL,1,Use Float.valueOf(float) instead of deprecated Float(double) constructor,{}
331,1c62829,FAIL,1,Add doc & tests to Jaxb2XmlEncoder for collections,{}
332,a06e63f,FAIL,1,Polishing javadocs: IllegalStateException no longer thrown,{}
333,eacf1d3,FAIL,1,Proper use of setComplete in ContextPathCompositeHandler,{}
334,a0dfdfc,FAIL,1,Hierarchy under WebClientResponseException,{}
335,c90ab5f,FAIL,1,Polish Http[Client|Server]ErrorException hierarchy,{}
336,52f6dcf,FAIL,1,Fix typo,{}
337,7b608ab,FAIL,1,Ensure AnnotationUtilsTests pass in Eclipse again,{}
338,be211ce,FAIL,1,Fix typos detected by github.com/client9/misspell,{}
339,896eb56,FAIL,1,Check scheme in (WebUtils|CorsUtils)#isSameOrigin,{}
340,7e9b710,FAIL,2,Support custom CorsConfigurationSource in AbstractHandlerMapping,{}
341,b325c74,FAIL,1,Pruning of outdated JDK 6/7 references (plus related polishing),{}
342,2b051b8,FAIL,1,Deprecate support classes for Sun's JDK HTTP server,{}
343,34ddb88,FAIL,1,"ConcurrentModel.addAttribute(String, Object) ignores null value",{}
344,a4c750e,FAIL,1,Upgrade to OpenPDF 1.2 and Apache HttpAsyncClient 4.1.4,{}
345,2d05f2e,FAIL,1,SerializableTypeWrapper detects Graal through system property as well,{}
346,4a18488,FAIL,1,Update deprecated basic auth client filters.,{}
347,6b82a6c,FAIL,1,Polishing,{}
348,2938a95,FAIL,1,Pre-size LinkedHashSet for annotation parsers,{}
349,d72d376,FAIL,1,Avoid unnecessary annotation introspection on framework methods,{}
350,f155d21,FAIL,1,DisposableBean javadoc refers to singletons as well as scoped beans,{}
351,28565e2,FAIL,1,Javadoc references for resetBeanDefinition,{}
352,943b394,FAIL,1,Polishing,{}
353,8a9d042,FAIL,1,Javadoc fix from ASM master (6.2.1),{}
354,e64c6df,FAIL,1,MergedBeanDefinitionPostProcessors clear internal caches on bean reset,{}
355,69c6a40,FAIL,1,Consistent nullability for array/collection input parameters,{}
356,a9a38fe,FAIL,2,Consistent initialiazation of Forwarded header set,{}
357,2216964,FAIL,1,Polish RestTemplate exception hierarchy,{}
358,7f0e348,FAIL,1,Fine-grained RestTemplate exception hierarchy,{}
359,2054fa2,FAIL,1,Upgrade to Jetty reactive HTTP client 1.0.1,{}
360,821ab62,FAIL,1,Upgrade to RxJava 2.2 and Kotlin 1.2.60,{}
361,c55c9eb,FAIL,1,Polish,{}
362,bb2db87,FAIL,1,Add support for adding cookies as headers in MockHttpServletResponse,{}
363,a8a1fc6,FAIL,1,Earlier processing of forwarded headers,{}
364,0878e43,FAIL,1,Delete MockServer when using RestTemplate with MockMvc,{}
365,aec9826,FAIL,1,maxResponseBody client filter,{}
366,5095ec4,FAIL,2,takeUntilByteCount actually uses takeUntil,{}
367,542ed81,FAIL,1,Polish,{}
368,217aa38,FAIL,1,Polishing,{}
369,2474c48,FAIL,1,Polishing,{}
370,dc36bb3,FAIL,1,Polishing,{}
371,6735e23,FAIL,1,Deprecate CommonJ scheduling in favor of JSR-236 Concurrency Utilities,{}
372,5055071,FAIL,2,SchedulingTaskExecutor provides prefersShortLivedTasks default method,{}
